chapter	title	body_words	max_p_words	dashes_per_1000	open_quotes	close_quotes	date_stamps
ch001	Back to 2012	1426	124	21.74	10	10	2025
ch002	Dream Life: The Simulation	932	84	27.9	13	13	
ch003	Achievement Quest: Win the Fans	1088	83	16.54	17	17	
ch004	Provisional Trainee	1298	65	22.34	20	20	
ch005	How to Win Friends and Influence People	1285	82	24.9	13	13	
ch006	The Grind	1067	63	25.3	16	16	
ch007	Dying for the Dream	955	60	20.94	7	7	
ch008	Irene	1036	66	23.17	14	14	
ch009	Limited-Edition Outfit: Bunny Girl	1052	60	26.62	15	15	
ch010	The Conqueror’s Instinct	1083	94	24.01	3	3	
ch011	A Man Is Forever Eighteen	976	112	23.57	4	4	
ch012	First Meeting: Taeyeon	1041	125	22.09	24	24	
ch013	Let the Evaluation Begin	1038	106	26.01	11	11	
ch014	That Outrageous Trainee Contract	1206	109	23.22	21	21	
ch015	Professional-Grade Ukulele	1176	73	22.96	13	13	
ch016	Apartment Hunting	1242	87	24.15	21	21	2012 · Spring
ch017	The Ab Board	910	80	25.27	10	10	
ch018	First Meeting: Red Velvet	1027	64	19.47	10	10	
ch019	Chingu	941	76	24.44	28	28	
ch020	The Joke	970	89	38.14	22	22	
ch021	The Bully	1101	66	22.71	22	22	
ch022	My Heart Will Go On	968	72	29.96	26	26	22:00 · That Night
ch023	Sulli’s Family	1143	108	28.0	26	26	
ch024	Depression	1214	57	33.77	33	33	
ch025	The Drug	1082	71	30.5	37	37	
ch026	Misfortune Hunts the Suffering	1349	98	30.39	24	24	
ch027	Black Into White	1065	56	36.62	29	29	
ch028	Rule One of Bar Life: Know How to Fight	1148	66	41.81	24	24	
ch029	First Meeting: Lee Soo-man	1336	70	23.2	26	26	01:00 · March 29, 2012
ch030	Famous	1980	81	18.69	22	22	
ch031	Hospital Visits, and Drama Queen Yoon-a	1081	76	34.23	22	22	
ch032	A Den of Sirens, a Kingdom of Women	1019	95	31.4	55	55	
ch033	Just Kidding	1131	79	36.25	50	50	
ch034	The Company Pays Its Debts	899	91	27.81	17	17	The Next Day
ch035	The First Disciple and the New Kid	1814	94	30.32	49	49	
ch036	Filming “Twinkle”	2052	80	28.27	67	67	
ch037	Charm 50!	919	71	30.47	15	15	
ch038	Being Sick Alone Is Its Own Kind of Despair	1006	65	29.82	22	22	
ch039	The Pleaser	1972	71	25.35	51	51	
ch040	When I Learn to Love Myself — Can I Love You Too?	1185	78	25.32	28	28	
ch041	Every Pretty Artist Is a Future Girlfriend	993	64	25.18	26	26	Wednesday · April 4, 2012
ch042	A Small Scheme	952	67	33.61	38	38	
ch043	The Slow Junior and the Genius Senior	1154	117	38.13	24	24	That Evening
ch044	Main Quest: One Song to Stun Them All	886	98	28.22	13	13	April 8, 2012
ch045	A Boy	1054	86	27.51	12	12	
ch046	Heartbeats and Ambiguity	1276	79	29.78	15	15	
ch047	The Timing of Things	817	72	30.6	8	8	
ch048	Morning Light, and Youth at Full Volume	1353	47	39.17	62	62	
ch049	Cliché, But It Works	1079	60	32.44	29	29	
ch050	Sealed With a High-Five	1199	57	31.69	37	37	
ch051	Life’s Candy	1066	65	29.08	34	34	April 30, 2012
ch052	The Month-End Evaluation	845	81	27.22	29	29	13:30 · April 30
ch053	One Song to Stun Them All!	926	51	31.32	10	10	
ch054	First Place!	1150	102	35.65	16	16	
ch055	Hearts in Motion	1004	56	27.89	39	39	
ch056	A Reason to Marry Sunny	1436	78	38.3	63	63	
ch057	Song Library Access	1066	78	30.96	25	25	
ch058	The Best Dancer in the Building	1086	73	28.55	30	30	
ch059	Accepting That Life Won’t Always Comply	1142	110	28.9	17	17	
ch060	Kindred Spirits	1096	108	36.5	8	8	
ch061	A Little Bit Famous	1048	81	33.4	23	23	Late May, 2012
ch062	The Soft Little Tummy	1125	57	35.56	45	45	May 26, 2012
ch063	The Contrarian Heart	968	81	39.26	14	14	
