variant	occurrences	chapters
Kim Taeyeon	69	ch004, ch068, ch094, ch096, ch101, ch159, ch213, ch252, ch258, ch259, ch282, ch283, ch284, ch289, ch290, ch291, ch293, ch296, ch300, ch303
Kim Tae-yeon	14	ch252, ch259, ch264, ch265, ch281, ch282, ch301, ch302
Tae-yeon	41	ch252, ch259, ch264, ch265, ch281, ch282, ch301, ch302
Im Yoon-a	77	ch014, ch126, ch268, ch288, ch289, ch290, ch293, ch294, ch295, ch296, ch301, ch302, ch303, ch304, ch305
Yoona	0	
Hahm Eun-jung	5	ch106, ch110, ch148, ch297
Ham Eun-jung	3	ch204, ch230, ch302
Park Hyomin	3	ch297, ch298
Hyo-min	22	ch110, ch147, ch148, ch204, ch228, ch229, ch261, ch302
Song Ji-ho	374	ch001, ch002, ch011, ch030, ch037, ch094, ch096, ch122, ch143, ch144, ch158, ch197, ch212, ch213, ch220, ch227, ch241, ch243, ch245, ch246, ch248, ch249, ch251, ch254, ch258, ch259, ch260, ch261, ch262, ch263, ch264, ch265, ch266, ch267, ch269, ch270, ch271, ch272, ch273, ch274, ch275, ch277, ch278, ch279, ch280, ch281, ch282, ch283, ch284, ch285, ch286, ch287, ch288, ch289, ch290, ch291, ch292, ch293, ch294, ch295, ch296, ch297, ch298, ch299, ch300, ch301, ch302, ch303, ch304, ch305
Sol	7	ch069, ch071, ch074, ch104, ch107, ch210, ch278
Bae Joo-hyun	70	ch005, ch041, ch136, ch159, ch161, ch241, ch242, ch244, ch246, ch279, ch280, ch281, ch282, ch287, ch300, ch301, ch302, ch303
Chae Soo-bin	155	ch095, ch096, ch164, ch169, ch170, ch174, ch184, ch207, ch262, ch263, ch272, ch273, ch274, ch275, ch276, ch277, ch278, ch279, ch280, ch281, ch282, ch283, ch284, ch285, ch286, ch287, ch290, ch291, ch292, ch293, ch296, ch297, ch298, ch299, ch300, ch301, ch302, ch303
