"name"	"portraits"	"anchor"
"Lee Ah-reum"	"../images/char-lee-ahreum.jpg"	""
"Song Ji-ho"	"../images/char-jiho.jpg"	""
"Kim Taeyeon"	"../images/char-taeyeon.jpg"	""
"Lee Ji-eun (IU)"	"../images/char-jieun.jpg"	""
"Bae Joo-hyun"	"../images/char-joohyun.jpg"	""
"Im Yoon-a"	"../images/char-yoona.jpg"	""
"Sulli (Choi Jin-ri)"	"../images/char-sulli.jpg"	""
"Sunny (Lee Soon-kyu)"	"../images/char-sunny.jpg"	""
"Tiffany (Hwang Mi-young)"	"../images/char-tiffany.jpg"	""
"Seohyun (Seo Ju-hyun)"	"../images/char-seohyun.jpg"	""
"Jessica (Jung Soo-yeon)"	"../images/char-jessica.jpg"	""
"Park Ji-yeon"	"../images/char-jiyeon.jpg"	""
"Goo Ha-ra"	"../images/char-hara.jpg"	""
"Kwon Yuri"	"../images/char-yuri.jpg"	""
"Miky Lee (Lee Mi-kyung)"	"../images/char-miky-lee.jpg"	""
"Lee Kyung-hoo"	"../images/char-kyunghoo.jpg"	""
"Chae Soo-bin (Bae Soo-bin)"	"../images/char-chae-soobin.jpg"	""
"Oh Jong-hyuk"	"../images/char-ohjonghyuk.jpg"	""
"Lee Kang-jun"	"../images/char-lee-kangjun.jpg"	""
