"term"
"-nim 님"
"-ssi 씨"
"-ah / -ya 아 / 야"
"-i / -ie 이"
"Oppa 오빠"
"Eonni / Unnie 언니"
"Hyung 형"
"Nuna / Noona 누나"
"Sunbae / Sunbae-nim 선배 / 선배님"
"Hoobae 후배"
"Dongsaeng 동생"
"Maknae 막내"
"Hoejang-nim 회장님"
"Sajang-nim 사장님"
"Daepyo-nim 대표님"
"Isa-nim 이사님"
"Bujang-nim 부장님"
"Chajang-nim 차장님"
"Siljang-nim 실장님"
"Teamjang-nim 팀장님"
"Biseo / Biseo-nim 비서 / 비서님"
"Seonsaengnim 선생님"
"Appa 아빠"
"Eomma 엄마"
"Abeonim 아버님"
"Eomeonim 어머님"
"Halmeoni / Halmeonim 할머니 / 할머님"
"Yeobo 여보"
"Jagi / Jagiya 자기 / 자기야"
"Imo-nim 이모님"
"Chingu 친구"
"Jeolchin 절친"
"Agassi 아가씨"
"Ajumma 아줌마"
"Ajusshi 아저씨"
"Hanwoo 한우"
"TaeTi 태띠"
"Annyeong haseyo 안녕하세요"
"Yeoboseyo 여보세요"
"Ne 네"
"Ani / Aniya 아니 / 아니야"
"Arasseo 알았어"
"Mianhae / Mianhamnida 미안해 / 미안합니다"
"Aigoo 아이고"
"Aish 아이씨"
"Daebak 대박"
"Hwaiting 화이팅"
"Omo / Ohmo 어머"
"Gamsahamnida 감사합니다"
"Bok 복"
"Akpl 악플"
"Taldeok 탈덕"
"Maejang 매장"
"Nunchi 눈치"
"Gojin-gamrae 고진감래"
"Mwo 뭐"
"Mworago 뭐라구"
"Hyeongbu 형부"
"Yeo-reo-bun 여러분"
"Tteokbokki 떡볶이"
"Noraebang 노래방"
